EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,EducationField,MonthlyIncome,SalaryBand,DistanceFromHome,BusinessTravel,OverTime,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,StockOptionLevel,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,RelationshipSatisfaction,PerformanceRating,Attrition
1042,50,Female,Single,Research & Development,Laboratory Technician,Other,7300,High,8,Non-Travel,Yes,28,28,6,27,8,5,0,4,4,3,4,2,4,No
1043,48,Female,Married,Sales,Sales Representative,Technical Degree,13350,Very High,15,Travel_Rarely,No,24,20,15,17,0,3,3,4,4,2,3,1,3,No
1044,33,Female,Divorced,Research & Development,Research Director,Human Resources,12040,Very High,4,Travel_Rarely,No,13,9,5,8,8,5,1,4,2,2,3,4,4,No
1045,20,Male,Married,Research & Development,Research Director,Human Resources,7210,High,27,Travel_Frequently,No,0,0,0,0,5,6,1,1,1,1,1,4,3,Yes
1046,59,Female,Married,Sales,Sales Executive,Life Sciences,10930,Very High,21,Travel_Rarely,No,36,36,15,33,0,5,3,4,4,2,1,3,3,No
1047,37,Male,Married,Research & Development,Manufacturing Director,Other,8750,High,10,Travel_Rarely,No,15,10,5,7,9,2,0,1,2,4,3,2,3,No
1048,56,Female,Single,Research & Development,Research Scientist,Technical Degree,5590,Medium,24,Travel_Rarely,No,36,34,9,33,4,1,0,3,2,4,2,3,3,No
1049,47,Male,Married,Research & Development,Research Scientist,Life Sciences,5440,Medium,2,Non-Travel,No,24,20,12,20,4,6,0,3,1,4,4,2,3,No
1050,51,Female,Divorced,Human Resources,Manager,Medical,14270,Very High,12,Travel_Rarely,Yes,30,25,15,23,1,2,1,1,3,1,1,3,4,No
1051,50,Female,Divorced,Research & Development,Research Scientist,Human Resources,8790,High,19,Travel_Rarely,No,26,23,15,21,0,5,0,1,3,2,4,4,4,No
1052,26,Female,Married,Research & Development,Laboratory Technician,Technical Degree,3780,Medium,1,Non-Travel,No,3,3,2,0,0,5,0,4,4,4,3,2,3,No
1053,33,Male,Married,Research & Development,Manufacturing Director,Marketing,4570,Medium,21,Travel_Rarely,No,12,7,7,4,2,3,2,4,3,2,4,1,3,Yes
1054,38,Female,Married,Research & Development,Research Director,Medical,15840,Very High,24,Travel_Frequently,Yes,16,12,12,10,2,1,0,1,3,1,4,3,3,No
1055,39,Female,Married,Research & Development,Manufacturing Director,Human Resources,5140,Medium,18,Travel_Frequently,No,19,14,1,14,4,3,1,3,3,2,4,4,3,No
1056,19,Female,Single,Sales,Sales Executive,Medical,4700,Medium,6,Travel_Rarely,No,0,0,1,0,6,1,0,1,4,4,2,1,3,No
1057,41,Female,Single,Research & Development,Research Director,Life Sciences,11420,Very High,22,Travel_Rarely,No,21,16,13,14,9,2,1,3,4,4,3,4,4,No
1058,24,Male,Single,Research & Development,Healthcare Representative,Technical Degree,3620,Medium,10,Travel_Frequently,No,0,0,0,0,7,2,1,2,4,1,1,2,3,Yes
1059,49,Male,Married,Sales,Manager,Human Resources,5940,Medium,22,Travel_Rarely,No,26,25,15,24,4,3,1,4,2,4,2,3,3,No
1060,47,Male,Single,Sales,Manager,Medical,5440,Medium,19,Travel_Frequently,No,26,25,15,24,9,1,0,3,2,3,2,3,4,No
1061,57,Female,Single,Research & Development,Manufacturing Director,Medical,13840,Very High,3,Non-Travel,No,33,33,9,31,5,5,0,2,1,4,2,1,3,No
1062,50,Male,Single,Sales,Manager,Marketing,6460,High,3,Travel_Rarely,Yes,30,26,15,25,4,0,0,3,4,3,3,1,3,Yes
1063,33,Female,Divorced,Sales,Sales Representative,Medical,4890,Medium,1,Non-Travel,No,11,10,10,10,2,6,0,2,3,3,1,4,3,No
1064,59,Female,Single,Research & Development,Research Scientist,Technical Degree,6380,High,3,Travel_Frequently,Yes,39,37,15,34,4,2,1,1,4,3,3,3,3,Yes
1065,35,Male,Single,Research & Development,Healthcare Representative,Medical,7140,High,9,Travel_Rarely,No,15,11,7,10,0,3,0,3,4,3,2,3,3,No
1066,32,Male,Married,Research & Development,Laboratory Technician,Life Sciences,5410,Medium,1,Travel_Rarely,No,11,9,5,8,1,6,0,4,2,4,1,2,3,No
1067,56,Male,Single,Research & Development,Healthcare Representative,Medical,5450,Medium,28,Travel_Frequently,Yes,35,35,14,35,9,4,0,2,1,3,3,1,3,Yes
1068,33,Female,Divorced,Research & Development,Laboratory Technician,Human Resources,6670,High,27,Travel_Frequently,No,10,8,4,7,1,0,2,1,1,1,4,2,3,Yes
1069,21,Male,Divorced,Research & Development,Healthcare Representative,Human Resources,5830,Medium,6,Travel_Rarely,No,0,0,1,0,5,4,1,1,4,1,3,3,3,No
1070,38,Male,Married,Sales,Sales Representative,Technical Degree,7420,High,10,Travel_Rarely,No,15,13,6,13,1,3,1,2,2,2,1,3,3,No
1071,52,Female,Married,Sales,Sales Representative,Marketing,6230,High,22,Travel_Rarely,Yes,29,25,15,25,6,6,1,4,2,2,3,2,3,Yes
1072,26,Male,Married,Research & Development,Laboratory Technician,Other,13130,Very High,20,Non-Travel,No,4,1,1,1,9,3,0,2,4,4,3,1,3,No
1073,37,Female,Single,Sales,Manager,Medical,7520,High,17,Travel_Rarely,No,16,12,4,12,4,6,0,4,2,1,3,1,3,No
1074,23,Male,Single,Research & Development,Research Scientist,Technical Degree,6950,High,29,Travel_Rarely,No,2,2,1,0,1,3,0,2,4,4,2,4,3,No
1075,47,Male,Single,Human Resources,Human Resources,Other,6530,High,19,Travel_Frequently,No,23,19,4,18,0,1,1,2,3,1,1,3,3,No
1076,38,Male,Single,Sales,Sales Representative,Other,6240,High,20,Travel_Frequently,No,16,14,2,11,7,3,0,4,4,2,1,4,3,No
1077,32,Male,Married,Sales,Sales Representative,Medical,4350,Medium,15,Travel_Frequently,No,10,9,3,8,1,6,0,3,1,2,2,1,4,No
1078,27,Male,Single,Human Resources,Human Resources,Other,9750,High,16,Travel_Rarely,Yes,7,4,0,2,3,0,2,1,2,3,3,2,3,Yes
1079,42,Female,Single,Research & Development,Research Director,Technical Degree,12030,Very High,9,Travel_Rarely,No,20,20,15,20,8,2,1,1,1,1,3,2,3,Yes
1080,46,Male,Married,Sales,Sales Representative,Human Resources,5800,Medium,16,Travel_Rarely,No,23,21,2,20,5,0,0,1,1,4,3,2,3,No
1081,58,Male,Married,Research & Development,Research Scientist,Medical,11000,Very High,27,Travel_Rarely,No,36,34,11,33,8,5,2,4,4,1,2,2,3,No
1082,36,Male,Single,Research & Development,Research Scientist,Technical Degree,17720,Very High,11,Travel_Rarely,No,13,13,3,13,8,3,0,1,3,4,2,1,3,No
1083,24,Male,Single,Research & Development,Research Director,Other,14840,Very High,4,Travel_Rarely,No,0,0,0,0,6,5,0,1,2,3,1,1,3,No
1084,53,Female,Single,Research & Development,Laboratory Technician,Medical,11800,Very High,18,Travel_Rarely,No,33,31,11,30,9,6,0,4,2,4,4,4,4,No
1085,45,Male,Single,Sales,Sales Executive,Other,4550,Medium,23,Travel_Rarely,No,21,21,15,20,0,5,3,3,1,4,2,2,3,Yes
1086,48,Female,Divorced,Sales,Sales Representative,Life Sciences,4530,Medium,28,Travel_Rarely,No,24,22,15,20,2,2,0,4,1,4,3,1,3,No
1087,22,Male,Divorced,Research & Development,Laboratory Technician,Other,9150,High,16,Travel_Rarely,No,0,0,0,0,2,6,2,1,4,2,2,2,3,No
1088,31,Male,Married,Sales,Sales Representative,Technical Degree,7150,High,23,Travel_Rarely,Yes,8,4,1,1,9,3,1,3,1,2,2,4,4,Yes
1089,51,Male,Married,Research & Development,Laboratory Technician,Medical,3200,Medium,8,Travel_Rarely,No,31,28,13,28,6,6,1,1,2,3,1,2,4,Yes
1090,53,Male,Married,Research & Development,Laboratory Technician,Life Sciences,6060,High,13,Travel_Rarely,No,32,27,8,25,2,6,0,3,1,3,4,4,3,No
1091,36,Female,Married,Sales,Manager,Other,8980,High,13,Travel_Rarely,No,16,16,13,13,2,1,0,1,4,4,1,1,3,No
1092,52,Male,Single,Research & Development,Manufacturing Director,Medical,6700,High,10,Travel_Rarely,No,29,26,6,23,8,5,1,4,1,2,4,1,4,No
1093,54,Male,Single,Sales,Manager,Marketing,7170,High,21,Travel_Rarely,No,30,29,12,28,8,4,0,2,2,2,1,3,4,Yes
1094,34,Female,Married,Research & Development,Research Director,Life Sciences,4530,Medium,26,Travel_Rarely,No,11,7,4,4,0,5,1,2,4,1,1,3,3,No
1095,56,Female,Married,Sales,Sales Executive,Human Resources,6030,High,10,Travel_Rarely,No,33,28,11,25,3,1,0,4,3,1,4,4,4,No
1096,30,Female,Single,Research & Development,Laboratory Technician,Technical Degree,9160,High,4,Non-Travel,Yes,10,10,6,9,5,3,1,1,2,4,4,2,3,No
1097,28,Female,Single,Research & Development,Laboratory Technician,Human Resources,5910,Medium,24,Travel_Rarely,No,4,4,3,1,2,1,1,4,3,4,4,1,3,No
1098,47,Female,Single,Research & Development,Manufacturing Director,Life Sciences,11370,Very High,25,Travel_Rarely,Yes,27,22,12,20,7,6,1,3,2,3,4,3,3,Yes
1099,45,Female,Single,Research & Development,Laboratory Technician,Medical,7230,High,28,Travel_Frequently,No,23,21,10,18,7,6,1,3,2,2,2,2,3,No
1100,24,Female,Married,Research & Development,Healthcare Representative,Technical Degree,8440,High,8,Travel_Frequently,No,1,0,1,0,8,4,0,2,3,1,1,1,3,No
1101,53,Male,Married,Research & Development,Laboratory Technician,Technical Degree,9080,High,21,Travel_Rarely,Yes,29,29,15,26,7,0,0,4,2,1,3,1,3,No
1102,26,Female,Married,Research & Development,Manufacturing Director,Other,8930,High,21,Travel_Frequently,No,2,0,1,0,8,4,0,2,4,3,3,3,3,No
1103,52,Male,Single,Human Resources,Human Resources,Human Resources,4850,Medium,23,Travel_Rarely,No,30,30,0,27,3,3,1,2,2,3,3,3,3,No
1104,18,Female,Single,Research & Development,Healthcare Representative,Other,5170,Medium,24,Travel_Rarely,Yes,0,0,1,0,2,5,0,2,4,2,1,1,3,No
1105,52,Female,Divorced,Research & Development,Healthcare Representative,Life Sciences,3180,Medium,28,Travel_Rarely,No,30,29,15,27,3,0,0,2,1,1,1,3,3,Yes
1106,51,Male,Married,Sales,Manager,Medical,6300,High,14,Travel_Frequently,No,29,29,15,27,8,2,0,2,3,1,3,4,3,Yes
1107,51,Female,Single,Research & Development,Laboratory Technician,Human Resources,5020,Medium,3,Non-Travel,Yes,28,23,15,20,6,2,0,1,3,3,4,4,3,Yes
1108,46,Female,Single,Research & Development,Research Scientist,Technical Degree,5850,Medium,6,Travel_Rarely,No,23,19,7,18,3,6,1,2,3,3,4,2,3,Yes
1109,38,Male,Divorced,Research & Development,Research Director,Human Resources,6550,High,26,Travel_Rarely,No,16,11,8,10,7,2,1,2,2,2,3,1,3,No
1110,48,Male,Married,Sales,Sales Representative,Technical Degree,7600,High,25,Travel_Rarely,Yes,26,25,15,23,2,6,1,2,3,3,2,3,3,Yes
1111,29,Female,Divorced,Research & Development,Healthcare Representative,Life Sciences,6740,High,1,Travel_Rarely,No,9,8,7,5,2,6,1,4,1,4,2,3,3,No
1112,51,Female,Married,Research & Development,Research Director,Marketing,6700,High,11,Travel_Rarely,No,31,30,10,27,0,4,1,1,3,3,3,4,4,No
1113,41,Male,Married,Research & Development,Manufacturing Director,Other,8170,High,8,Travel_Rarely,No,19,16,12,16,9,1,1,4,4,2,3,3,3,Yes
1114,37,Male,Married,Sales,Manager,Technical Degree,7040,High,10,Non-Travel,Yes,16,15,12,12,2,1,2,4,2,1,1,3,3,Yes
1115,39,Female,Single,Human Resources,Manager,Life Sciences,10040,Very High,19,Travel_Rarely,No,16,15,13,12,7,0,2,1,1,4,2,3,3,Yes
1116,42,Male,Married,Sales,Sales Representative,Medical,7050,High,15,Travel_Frequently,No,18,13,2,13,1,5,2,3,3,3,3,3,3,No
1117,19,Male,Married,Sales,Sales Executive,Human Resources,12750,Very High,14,Travel_Rarely,No,0,0,1,0,0,5,2,1,4,2,4,2,4,No
1118,24,Male,Single,Research & Development,Research Scientist,Human Resources,4780,Medium,13,Travel_Rarely,No,0,0,0,0,6,2,2,1,2,1,4,2,3,Yes
1119,28,Male,Divorced,Research & Development,Manufacturing Director,Other,6250,High,19,Non-Travel,No,6,5,5,2,0,5,1,4,1,4,4,2,3,No
1120,22,Male,Married,Sales,Sales Representative,Life Sciences,5490,Medium,20,Travel_Rarely,No,0,0,0,0,1,4,1,1,2,4,1,2,3,No
1121,36,Female,Single,Research & Development,Research Scientist,Technical Degree,7720,High,2,Travel_Rarely,Yes,12,8,2,6,3,5,1,2,4,2,2,4,3,Yes
1122,46,Female,Married,Research & Development,Research Scientist,Other,4780,Medium,4,Travel_Rarely,No,26,21,13,19,5,0,0,1,2,2,3,2,3,Yes
1123,46,Female,Divorced,Research & Development,Research Director,Technical Degree,10100,Very High,10,Travel_Rarely,No,23,20,11,19,0,1,0,1,3,3,4,2,3,No
1124,38,Male,Divorced,Research & Development,Research Director,Technical Degree,4010,Medium,13,Travel_Rarely,No,16,11,8,8,1,5,2,1,2,4,2,4,3,Yes
1125,54,Male,Married,Research & Development,Research Scientist,Marketing,5110,Medium,29,Travel_Frequently,No,30,28,11,28,3,2,1,4,3,3,4,1,3,No
1126,42,Male,Divorced,Research & Development,Manufacturing Director,Medical,4110,Medium,26,Travel_Frequently,No,20,18,0,17,7,6,0,1,2,1,3,2,3,Yes
1127,21,Male,Divorced,Research & Development,Research Scientist,Medical,6580,High,19,Travel_Rarely,Yes,1,1,1,1,0,6,1,4,2,1,3,2,3,Yes
1128,50,Male,Divorced,Research & Development,Research Director,Other,7600,High,2,Non-Travel,No,29,28,14,25,2,0,0,1,3,1,3,2,4,No
1129,42,Male,Divorced,Research & Development,Healthcare Representative,Life Sciences,3800,Medium,3,Travel_Frequently,No,22,18,9,16,1,2,0,4,3,2,4,2,3,No
1130,45,Male,Married,Sales,Manager,Life Sciences,6100,High,14,Travel_Rarely,No,24,23,9,21,3,5,1,4,2,2,3,4,3,No
1131,42,Male,Married,Research & Development,Manufacturing Director,Marketing,10590,Very High,18,Travel_Rarely,No,22,22,15,19,2,0,1,3,2,3,3,2,3,No
1132,41,Female,Married,Research & Development,Research Director,Other,11870,Very High,20,Travel_Rarely,Yes,18,17,14,17,6,6,1,4,1,4,2,2,3,Yes
1133,21,Female,Married,Research & Development,Healthcare Representative,Technical Degree,9460,High,5,Travel_Rarely,No,0,0,0,0,0,0,0,2,3,1,2,2,4,No
1134,42,Female,Single,Sales,Sales Representative,Technical Degree,2810,Low,26,Travel_Rarely,No,19,15,0,15,9,0,1,4,2,4,3,4,3,Yes
1135,52,Female,Married,Sales,Sales Representative,Technical Degree,7330,High,15,Travel_Rarely,No,28,28,5,25,2,3,0,1,3,2,4,4,3,Yes
1136,31,Male,Divorced,Research & Development,Research Director,Life Sciences,11110,Very High,18,Travel_Rarely,No,8,8,0,6,9,1,1,3,2,3,3,1,3,No
1137,43,Male,Single,Sales,Sales Representative,Medical,5870,Medium,2,Travel_Rarely,No,21,17,12,14,7,4,1,4,4,1,4,1,3,Yes
1138,19,Male,Divorced,Human Resources,Manager,Life Sciences,4380,Medium,24,Travel_Rarely,Yes,0,0,1,0,3,2,0,3,3,2,3,1,3,Yes
1139,32,Male,Married,Research & Development,Manufacturing Director,Other,10760,Very High,16,Travel_Rarely,No,9,7,3,4,3,1,2,2,2,4,2,2,4,No
1140,36,Male,Single,Research & Development,Healthcare Representative,Other,11420,Very High,7,Travel_Rarely,No,14,10,6,7,9,5,1,3,2,1,3,3,3,No
1141,60,Male,Single,Research & Development,Research Scientist,Medical,7020,High,10,Travel_Rarely,No,37,34,15,34,9,1,0,4,3,2,3,1,3,No
1142,27,Male,Divorced,Research & Development,Research Scientist,Medical,4400,Medium,11,Travel_Rarely,Yes,7,7,6,5,6,3,0,4,1,3,4,3,4,Yes
1143,29,Male,Married,Research & Development,Research Scientist,Medical,3640,Medium,1,Travel_Rarely,No,9,5,2,2,0,1,0,3,1,3,2,2,3,No
1144,35,Female,Single,Research & Development,Manufacturing Director,Human Resources,8030,High,28,Travel_Rarely,No,15,15,9,14,9,0,0,3,1,2,1,4,3,No
1145,60,Female,Married,Research & Development,Research Director,Marketing,5510,Medium,24,Travel_Frequently,No,37,36,15,35,4,1,2,4,2,2,1,3,3,No
1146,54,Female,Married,Research & Development,Laboratory Technician,Other,6850,High,26,Travel_Rarely,No,32,32,15,31,0,1,1,3,2,4,1,2,3,No
1147,19,Female,Married,Research & Development,Research Scientist,Marketing,6570,High,11,Travel_Frequently,No,0,0,1,0,8,2,1,1,2,1,3,3,3,Yes
1148,28,Male,Divorced,Research & Development,Healthcare Representative,Other,5010,Medium,17,Travel_Rarely,No,7,3,1,0,0,3,1,4,1,2,4,1,3,No
1149,53,Male,Married,Research & Development,Research Director,Technical Degree,3570,Medium,14,Travel_Rarely,No,30,27,15,25,3,0,2,1,2,2,3,2,3,Yes
1150,20,Female,Married,Sales,Sales Representative,Medical,5930,Medium,14,Travel_Rarely,No,0,0,0,0,0,0,2,3,2,4,1,2,3,Yes
1151,54,Male,Married,Research & Development,Manufacturing Director,Human Resources,7440,High,18,Travel_Frequently,No,30,28,15,25,4,0,0,2,2,4,2,1,3,No
1152,30,Male,Divorced,Research & Development,Manufacturing Director,Other,7580,High,14,Travel_Rarely,Yes,8,8,8,5,8,4,0,1,3,4,4,2,4,Yes
1153,57,Male,Single,Sales,Sales Executive,Other,5380,Medium,23,Travel_Rarely,No,34,32,15,31,1,6,0,2,2,1,1,3,3,Yes
1154,30,Female,Single,Sales,Sales Executive,Human Resources,11320,Very High,2,Travel_Rarely,No,10,9,1,6,1,0,0,1,4,1,3,3,3,No
1155,36,Female,Single,Research & Development,Healthcare Representative,Medical,4550,Medium,6,Travel_Rarely,Yes,12,8,1,7,9,0,1,2,4,2,2,4,3,Yes
1156,46,Male,Married,Research & Development,Laboratory Technician,Life Sciences,2610,Low,26,Travel_Rarely,No,26,22,15,20,1,5,0,2,3,2,4,2,3,Yes
1157,23,Female,Married,Research & Development,Research Director,Technical Degree,10250,Very High,26,Travel_Frequently,Yes,2,0,0,0,1,5,2,2,3,1,3,3,3,Yes
1158,41,Male,Married,Sales,Manager,Medical,7350,High,24,Non-Travel,No,18,17,0,14,5,5,0,1,1,4,3,3,3,No
1159,39,Male,Married,Sales,Sales Executive,Marketing,5950,Medium,11,Travel_Frequently,No,15,15,4,13,2,1,2,3,3,4,3,4,3,No
1160,51,Male,Single,Research & Development,Laboratory Technician,Medical,8450,High,14,Non-Travel,No,31,31,15,29,9,6,0,1,2,2,4,4,4,Yes
1161,60,Male,Married,Research & Development,Research Director,Marketing,6420,High,1,Travel_Frequently,Yes,37,32,4,31,1,4,0,4,2,4,3,3,3,No
1162,46,Female,Divorced,Sales,Sales Executive,Marketing,3990,Medium,9,Travel_Frequently,Yes,26,21,3,19,5,1,2,1,4,3,3,2,4,No
1163,35,Male,Single,Sales,Sales Representative,Marketing,4430,Medium,22,Travel_Rarely,Yes,15,14,5,11,9,0,1,1,1,3,4,3,3,Yes
1164,35,Female,Single,Sales,Manager,Other,6260,High,10,Travel_Frequently,Yes,13,8,5,7,7,4,1,2,2,4,3,3,3,Yes
1165,35,Male,Single,Research & Development,Research Director,Technical Degree,5650,Medium,14,Travel_Frequently,No,13,10,5,7,0,5,2,2,4,1,3,4,3,Yes
1166,53,Female,Married,Research & Development,Research Director,Marketing,10150,Very High,4,Non-Travel,No,32,31,15,30,1,5,0,4,4,1,2,1,3,No
1167,31,Female,Single,Sales,Sales Executive,Life Sciences,5560,Medium,15,Non-Travel,No,7,6,6,6,1,4,0,3,3,2,2,4,3,Yes
1168,25,Female,Married,Sales,Sales Executive,Technical Degree,5430,Medium,21,Non-Travel,Yes,2,1,0,0,9,3,0,2,3,4,1,4,3,No
1169,32,Female,Married,Research & Development,Laboratory Technician,Medical,5170,Medium,17,Travel_Rarely,Yes,10,6,4,4,2,4,0,4,4,3,3,1,3,No
1170,18,Female,Married,Research & Development,Laboratory Technician,Medical,5000,Medium,17,Travel_Rarely,Yes,0,0,0,0,0,0,3,1,1,2,2,2,3,Yes
1171,22,Male,Married,Research & Development,Research Scientist,Marketing,5060,Medium,27,Travel_Rarely,Yes,0,0,0,0,3,2,2,4,2,1,4,1,4,Yes
1172,21,Female,Single,Research & Development,Healthcare Representative,Life Sciences,4200,Medium,7,Travel_Rarely,No,1,0,0,0,2,0,0,2,1,3,4,3,3,No
1173,51,Female,Divorced,Sales,Sales Executive,Marketing,7470,High,9,Travel_Rarely,Yes,28,27,15,24,1,5,1,2,2,2,4,1,4,No
1174,49,Male,Married,Sales,Manager,Medical,6630,High,19,Non-Travel,No,26,25,6,22,4,4,2,2,4,2,2,2,3,No
1175,47,Male,Married,Sales,Sales Representative,Human Resources,6520,High,14,Travel_Rarely,No,25,21,15,18,9,5,0,1,3,4,3,1,3,Yes
1176,37,Male,Single,Research & Development,Research Director,Human Resources,3710,Medium,29,Travel_Frequently,Yes,15,10,4,9,2,3,0,3,4,3,4,1,3,No
